name;glottocode
Abaza;abaz1241
Abkhazian;abkh1244
Afrikaans;afri1274
Akkadian;akka1240
Akuntsu;akun1241
Albanian;alba1267
AlgerianArabic;alge1239
Amharic;amha1245
AncientGreek (to 1453);anci1242
Ancient Hebrew;anci1244
Apurinã;apur1254
Arabic;stan1318
Eastern Armenian;nucl1235
AssyrianNeo-Aramaic;assy1241
North Azerbaijani;nort2697
South Azerbaijani;sout2697
Bambara;bamb1269
Basque;basq1248
Bavarian;bava1246
Beja;beja1238
Belarusian;bela1254
Bengali;beng1280
Bhojpuri;bhoj1244
Borôro;boro1282
Breton;bret1244
Bulgarian;bulg1262
CappadocianGreek;capp1239
Catalan;stan1289
Cebuano;cebu1242
Central Siberian Yupik;cent2128
Chinese;mand1415
Chukot;chuk1273
ChurchSlavic;chur1257
ClassicalArmenian;clas1249
Coptic;copt1239
Croatian;sout1528
Czech;czec1258
Danish;dani1285
Dutch;dutc1256
Egyptian(Ancient);egyp1246
Emerillon;emer1243
English;stan1293
Erzya;erzy1239
Estonian;esto1258
Faroese;faro1244
Finnish;finn1318
French;stan1290
Galician;gali1258
Georgian;nucl1302
German;stan1295
GhegAlbanian;gheg1238
Gothic;goth1244
Guajajára;guaj1255
Guarani;tupi1277
Gujarati;guja1252
Haitian;hait1244
Hausa;haus1257
Hebrew;hebr1245
HighlandPuebla Nahuatl;high1278
Hindi;hind1269
Hittite;hitt1242
Hungarian;hung1274
Icelandic;icel1247
Indonesian;indo1316
Irish;iris1253
Italian;ital1282
Japanese;nucl1643
Javanese;java1254
K'iche';kich1262
Kangri;kang1280
Karelian;kare1335
Karo(Brazil);karo1305
Kazakh;kaza1248
Khunsari;khun1255
Kirghiz;kirg1245
Komi-Permyak;komi1269
Komi-Zyrian;komi1268
Korean;kore1280
Latgalian;east2282
Latin;lati1261
Latvian;latv1249
Ligurian;ligu1248
LiteraryChinese;lite1248
Lithuanian;lith1251
Livvi;livv1243
LowGerman;west2357
Luxembourgish;luxe1243
Macedonian;mace1250
Madi;jama1261
Makuráp;maku1278
Malayalam;mala1464
Maltese;malt1254
Manx;manx1243
Marathi;mara1378
MbyáGuaraní;mbya1239
Middle French (ca. 1400-1600);midd1316
Modern Greek (1453-);mode1248
Moksha;moks1248
Mundurukú;mund1330
Nayini;nayi1242
Neapolitan;neap1235
Nhengatu;nhen1239
Nigerian Pidgin;nige1257
NorthernKurdish;nort2641
Northern Sami;nort2671
Norwegian;norw1258
OldFrench (842-ca. 1400);oldf1239
OldIrish (to 900);oldi1246
OldRussian;oldr1238
Old Turkish;oldu1238
Ottoman Turkish (1500-1928);otto1234
Paumarí;paum1247
Persian;west2369
Polish;poli1260
Portuguese;port1283
Romanian;roma1327
Russia Buriat;russ1264
Russian;russ1263
Sanskrit;sans1269
Saya;saya1246
ScottishGaelic;scot1245
Serbian;sout1528
Sinhala;sinh1246
SkoltSami;skol1241
Slovak;slov1269
Slovenian;slov1268
Soi;soii1239
South Levantine Arabic;sout3123
Spanish;stan1288
Swedish;swed1254
SwedishSign Language;swed1236
SwissGerman;swis1247
Tagalog;taga1270
Tamil;tami1289
Tatar;tata1255
Telugu;telu1262
Thai;thai1261
Tswana;tswa1253
Tupinambá;tupi1273
Turkish;nucl1301
Uighur;uigh1240
Ukrainian;ukra1253
Umbrian;umbr1253
UpperSorbian;uppe1395
Urdu;urdu1245
Urubú-Kaapor;urub1250
Veps;veps1250
Vietnamese;viet1252
Warlpiri;warl1254
Welsh;wels1247
Western Armenian;homs1234
WesternFrisian;west2354
Wolof;nucl1347
Xavánte;xava1240
Xibe;xibe1242
Yakut;yaku1245
Yoruba;yoru1245
YueChinese;yuec1235
Zacatlán-Ahuacatlán-Tepetzintla Nahuatl;zaca1241